Scopus-10-Analyze-Author

"Your query : ((TITLE-ABS-KEY(salt Or sodium OR Na)) AND (TITLE-ABS-KEY(""BP""OR ""Blood pressure""OR""hypertension""OR""high blood pressure""OR""systolic"")) AND (TITLE-ABS-KEY(""ultra-processed food"" OR ""ultra-processed foods"" OR ""ultraprocessed food"" OR ""ultraprocessed foods"" OR ""ultra-processed product"" OR ""ultra-processed products"" OR ""ultra-processing"" OR ""food processing"" OR ""processed food"" OR ""processed foods"" OR ""NOVA"" OR ""NOVA system"" OR ""NOVA food classification"" OR ""NOVA classification system"")) AND ( EXCLUDE ( SUBJAREA,""BIOC"" ) OR EXCLUDE ( SUBJAREA,""PHAR"" ) OR EXCLUDE ( SUBJAREA,""AGRI"" ) OR EXCLUDE ( SUBJAREA,""EART"" ) OR EXCLUDE ( SUBJAREA,""VETE"" ) OR EXCLUDE ( SUBJAREA,""MATE"" ) OR EXCLUDE ( SUBJAREA,""PHYS"" ) OR EXCLUDE ( SUBJAREA,""CHEM"" ) OR EXCLUDE ( SUBJAREA,""ENER"" ) OR EXCLUDE ( SUBJAREA,""ENVI"" ) ) )"


Number of results : 10

"AUTHOR NAME",
"He, F.J.","11"
"Campbell, N.R.C.","10"
"MacGregor, G.A.","9"
"Webster, J.","7"
"Neal, B.","6"
"Capewell, S.","5"
"Cogswell, M.E.","5"
"Kroke, A.","5"
"Macgregor, G.A.","5"
"Trieu, K.","5"
"Appel, L.J.","4"
"Arcand, J.A.","4"
"Jacobson, M.F.","4"
"Johnson, C.","4"
"Knorpp, L.","4"
"Law, M.R.","4"
"Schutte, A.E.","4"
"Steffen, L.M.","4"
"Wald, N.J.","4"
"Bandosz, P.","3"
"Beard, T.C.","3"
"Bibbins-Domingo, K.","3"
"Campbell, N.","3"
"Cappuccio, F.P.","3"
"Charlton, K.","3"
"Elliott, P.","3"
"Gillespie, C.","3"
"Guzman-Castillo, M.","3"
"Havas, S.","3"
"James, W.P.T.","3"
"Kurtz, T.W.","3"
"McLean, R.","3"
"Micha, R.","3"
"Mozaffarian, D.","3"
"O'Flaherty, M.","3"
"Popkin, B.M.","3"
"Pravenec, M.","3"
"Rodgers, A.","3"
"Santos, J.A.","3"
"Shikany, J.M.","3"
"Singh, R.B.","3"
"Steyn, K.","3"
"Thout, S.R.","3"
"Van Horn, L.","3"
"Whelton, P.K.","3"
"Arens-Azevedo, U.","2"
"Bakker, S.J.L.","2"
"Bechthold, A.","2"
"Bes-Rastrollo, M.","2"
"Boeing, H.","2"
"Boshuizen, H.C.","2"
"Buttriss, J.L.","2"
"Carrero, J.J.","2"
"Charlton, K.E.","2"
"Cobiac, L.J.","2"
"Collins, B.","2"
"Collins, M.","2"
"Cotrim, C.","2"
"Coxson, P.G.","2"
"Crickmore, C.","2"
"Critchley, J.","2"
"Dicarlo, S.E.","2"
"Du, S.","2"
"Eastwood, J.B.","2"
"Ernst, N.D.","2"
"Farzadfar, F.","2"
"Feng, X.","2"
"Ferrante, D.","2"
"Flegel, K.","2"
"Folkow, B.","2"
"Gardner, C.D.","2"
"Geleijnse, J.M.","2"
"Gilbert, P.A.","2"
"Grimm, R.H.","2"
"Gupta, P.","2"
"Harnack, L.J.","2"
"Hendriksen, M.A.H.","2"
"Heseker, H.","2"
"Hooper, L.","2"
"Hoyer, J.","2"
"Huang, L.","2"
"Huffman, M.D.","2"
"Karppanen, H.","2"
"Kerry, S.M.","2"
"Klaus, D.","2"
"Kowal, P.","2"
"Kypridemos, C.","2"
"Lajous, M.","2"
"Lawes, C.","2"
"Legetic, B.","2"
"Lemogoum, D.","2"
"Leschik-Bonnet, E.","2"
"Li, N.","2"
"Loria, C.M.","2"
"Lucan, S.C.","2"
"Luft, F.C.","2"
"MacDonald, N.","2"
"Mason, H.","2"
"McKenzie, B.","2"
"McLean, R.M.","2"
"Merritt, R.","2"
"Mervaala, E.","2"
"Middeke, M.","2"
"Mohan, S.","2"
"Molina, M.d.C.B.","2"
"Moshfegh, A.","2"
"Naidoo, N.","2"
"Naidoo, P.","2"
"Nilson, E.A.F.","2"
"Novaković, B.","2"
"Nowson, C.A.","2"
"O’Flaherty, M.","2"
"Patel, S.M.","2"
"Pearson-Stuttard, J.","2"
"Pereira, R.A.","2"
"Perry, I.J.","2"
"Plange-Rhule, J.","2"
"Riddell, L.J.","2"
"Roccella, E.J.","2"
"Shi, J.","2"
"Sichieri, R.","2"
"Smith, G.D.","2"
"Spaniol, A.M.","2"
"Stanbrook, M.B.","2"
"Strohm, D.","2"
"Tong, X.","2"
"Van Raaij, J.M.A.","2"
"Vos, T.","2"
"Wang, H.","2"
"Wentzel-Viljoen, E.","2"
"Whitsel, L.","2"
"Wu, Y.","2"
"Yin, X.","2"
"Yuan, K.","2"
"Zhang, B.","2"
"Zhao, L.","2"
"van der Westhuizen, B.","2"
"A., C.S.","1"
"Abbas, A.M.","1"
"Abdollahi, Z.","1"
"Abou Mayaleh, M.","1"
"Abtahi, F.","1"
"Abtahi, M.","1"
"Abu-Kteish, H.","1"
"Abu-Rmeileh, N.","1"
"Acheampong, D.","1"
"Achour, N.","1"
"Adame Perez, S.","1"
"Admire, J.B.","1"
"Adorne, E.d.F.","1"
"Adsul, P.","1"
"Aguilar, V.","1"
"Ahangari, R.","1"
"Ahmad, B.","1"
"Ahuja, J.","1"
"Ahuja, J.K.C.","1"
"Aissi, W.","1"
"Akor, B.","1"
"Al-Adwi, M.E.","1"
